single1	single2
OS01G57260	SB03G036440
OS03G05806	SB01G046770
OS03G20640	SB01G036820
OS01G40700	SB03G026500
OS09G35920	SB02G030650
OSCG00790	SBCG00790
OS01G23680	SB03G025470
OS02G54500	SB04G035280
OS02G04780	SB02G039980
OS06G49490	SB10G029490
OS08G27010	SB07G015170
OS02G02510	SB04G001250
OS02G49992	SB04G028840
OS03G12320	SB01G042410
OS11G34370	SB05G020920
OS07G09400	SB02G005590
OS02G50830	SB04G028290
OS03G63860	SB01G000680
OS03G01180	SB01G050570
OS06G18820	SB10G010750
OS04G30780	SB06G011300
OS02G26370	SB04G016300
OS12G23200	SB03G004560
OS08G05830	SB07G003600
OS01G49670	SB03G031740
OS03G18420	SB01G038290
OS04G39210	SB06G019370
OS05G44170	SB09G025750
OS12G25210	SB01G012940
OS03G62680	SB01G001560
OS03G14990	SB01G040790
OS04G23180	SB06G007330
OS01G59340	SB03G037550
OS03G42770	SB01G013700
OS12G31450	SB08G015430
OS01G11590	SB03G001910
OS06G01640	SB10G000540
OS12G35630	SB02G041940
OS01G10020	SB03G002880
OS02G53780	SB04G034890
OS06G14460	SB10G009230
OS03G13370	SB01G041660
OS02G58340	SB04G038310
OS01G09890	SB03G002920
OS01G15310	SB03G009890
OS07G40730	SB02G038340
OS01G72310	SB03G046010
OS07G30100	SB02G033390
OS07G44630	SB02G040820
OS01G03650	SB03G007140
OS03G01222	SB01G050510
OS01G67740	SB03G043060
OS09G14680	SB02G021130
OS03G48000	SB01G011810
OSMG00560	SB01G015535
OS06G45860	SB10G026910
OS05G32570	SB09G019370
OS12G07950	SB08G004900
OS02G44510	SB04G036540
OS07G16130	SB02G008700
OS05G41880	SB09G024520
OS05G03550	SB09G002290
OS10G41710	SB01G028650
OS06G08790	SB10G005910
OS01G68380	SB03G043500
OS07G44730	SB02G040860
OS05G47930	SB09G027750
OS07G39430	SB02G037620
OS08G39080	SB07G028340
OS10G17280	SB01G042930
OS03G34040	SB01G016780
OS12G38400	SB08G018840
OS04G42330	SB06G021710
OS07G40470	SB02G038260
OS02G03970	SB04G002710
OS01G21850	SB03G013100
OS07G07540	SB02G004000
OS04G35780	SB06G017320
OS10G42240	SB01G028370
OS04G59460	SB06G034000
OS01G03840	SB03G007290
OS11G30410	SB05G017710
OS03G06070	SB01G046660
OS04G57310	SB06G032170
OS08G38580	SB07G028650
OS01G32080	SB03G004100
OS04G40990	SB06G020720
OS02G03720	SB04G002490
OS04G16680	SB03G040100
OS04G20990	SB06G006720
OS03G60610	SB01G003230
OS06G22690	SB09G002580
OS03G19870	SB01G048070
OS07G33370	SB02G034775
OS03G39740	SB01G031340
OS04G22870	SB10G029680
OS02G47570	SB04G030620
OS01G65450	SB03G041440
OS01G54240	SB03G034380
OS03G63730	SB01G000750
OS03G48260	SB01G011640
OS03G31150	SB03G002900
OS03G09210	SB01G044350
OS05G34680	SB09G020660
OS04G02670	SB06G021510
OS12G07350	SB09G026295
OS02G51030	SB04G028100
OS09G27330	SB02G026080
OS09G07570	SB10G006650
OS12G31380	SB08G015410
OS04G49960	SB06G026860
OS12G08740	SB10G011240
OS04G49540	SB06G026560
OS01G46720	SB03G029870
OS04G35190	SB06G016930
OS01G12800	SB03G000970
OS07G37030	SB09G020820
OS01G44050	SB03G028760
OS06G43650	SB10G025260
OS04G01240	SB06G000390
OS07G25440	SB03G013640
OS05G02900	SB09G001890
OS02G58510	SB04G038440
OS09G15340	SB02G021770
OS04G51380	SB01G048060
OS03G52470	SB01G008930
OS03G60939	SB01G002910
OS12G26044	SB04G010090
OS06G11640	SB10G007650
OS09G03600	SB02G013160
OS07G07220	SB02G003850
OS02G57150	SB04G037170
OS05G48750	SB09G028380
OS11G36070	SB05G021950
OS01G13160	SB03G000740
OS04G32550	SB10G001000
OS10G35644	SB01G018070
OS01G40470	SB03G026290
OS03G05320	SB01G047114
OS03G14280	SB01G041120
OS07G46640	SB02G041960
OS06G06820	SB10G004460
OS01G70810	SB03G045030
OS04G56750	SB06G031850
OS04G45910	SB06G024050
OS03G03770	SB01G048410
OS09G10770	SB02G018660
OS03G58340	SB01G005120
OS01G32184	SB03G020430
OS05G33210	SB05G002090
OSCG00630	SBCG00630
OS07G43020	SB02G039700
OS06G14550	SB10G009280
OS03G52780	SB01G008720
OS09G11510	SB02G019520
OS07G23200	SB02G042610
OS03G20100	SB01G037100
OS03G26960	SB01G033760
OS02G31874	SB04G021230
OS01G08670	SB03G003675
OS08G01680	SB07G000880
OS02G45650	SB04G031850
OS05G32960	SB09G019540
OS12G31840	SB08G015620
OS04G53230	SB06G029020
