gf_id	species	genes	zma	sbi	sit	osa	osaindica	bdi	hvu	mac	ath	cpa	ptr	vvi	sly	ppa	olu	cre
HOM03M000266	14	200	26	19	19	19	20	18	10	24	6	6	8	5	13	7	0	0
HOM03M000267	16	200	12	7	8	9	15	6	13	15	7	8	15	10	7	55	3	10
HOM03M000268	14	200	17	13	15	13	14	13	12	24	16	10	14	17	10	12	0	0
HOM03M000269	14	200	13	16	19	15	16	9	7	18	20	10	14	9	32	2	0	0
HOM03M000270	13	199	6	10	11	17	24	9	4	4	53	3	40	10	8	0	0	0
HOM03M000271	6	199	0	0	0	0	0	0	0	1	9	14	71	92	12	0	0	0
HOM03M000272	14	199	17	9	13	12	12	15	13	26	16	12	17	10	20	7	0	0
HOM03M000273	13	199	21	16	13	15	16	12	12	33	12	8	19	10	12	0	0	0
HOM03M000274	16	198	14	10	13	12	14	11	9	19	17	12	17	14	16	6	6	8
HOM03M000275	16	197	17	11	10	12	14	11	9	20	9	9	13	11	17	7	6	21
HOM03M000276	16	197	17	11	9	11	11	13	18	13	8	6	12	7	14	13	2	32
HOM03M000277	14	196	13	12	14	16	16	12	12	13	19	14	28	12	13	2	0	0
HOM03M000278	15	196	14	17	13	22	25	12	16	20	8	6	13	10	12	6	0	2
HOM03M000279	16	195	20	15	11	12	11	9	25	18	9	14	13	8	12	8	5	5
HOM03M000280	16	194	24	10	14	13	15	14	11	20	12	7	16	11	16	7	1	3
HOM03M000281	13	194	17	14	18	12	15	13	11	10	21	17	12	7	27	0	0	0
HOM03M000282	13	193	3	10	6	3	4	1	3	8	20	117	7	1	10	0	0	0
HOM03M000283	16	193	11	9	10	12	12	9	8	17	14	11	21	10	14	22	1	12
HOM03M000284	13	192	10	17	22	25	24	16	10	10	13	7	29	6	3	0	0	0
HOM03M000285	14	191	24	15	16	14	16	13	11	10	11	8	14	5	11	23	0	0
HOM03M000286	16	190	10	9	12	10	14	11	8	10	10	14	25	19	21	10	1	6
HOM03M000287	16	190	18	12	11	11	12	11	13	21	14	9	19	9	16	7	1	6
HOM03M000288	14	190	18	13	15	16	13	14	13	20	20	6	16	5	11	10	0	0
HOM03M000289	13	189	13	23	18	33	32	12	7	10	1	13	12	11	4	0	0	0
HOM03M000290	13	189	8	10	12	17	20	10	15	5	13	19	20	7	33	0	0	0
HOM03M000291	16	189	10	14	15	12	19	9	8	13	9	9	21	17	15	12	2	4
HOM03M000292	14	189	18	16	12	15	14	12	9	21	16	11	15	9	14	7	0	0
HOM03M000293	15	189	19	14	14	14	18	12	15	34	13	7	11	6	9	2	0	1
HOM03M000294	16	187	11	12	12	13	16	13	15	12	15	12	16	13	13	10	1	3
HOM03M000295	16	185	11	11	18	11	17	8	6	12	15	13	21	15	18	6	2	1
HOM03M000296	16	184	9	11	11	12	17	10	9	23	12	10	20	15	16	5	1	3
HOM03M000297	16	185	9	11	10	10	11	11	12	17	14	13	15	9	12	18	3	10
HOM03M000298	16	184	17	14	12	11	17	11	5	19	12	9	17	14	11	10	2	3
HOM03M000299	8	184	20	21	29	31	42	15	23	3	0	0	0	0	0	0	0	0
HOM03M000300	16	184	11	9	10	16	16	9	8	12	13	20	11	9	9	9	9	13
HOM03M000301	14	184	19	21	21	20	24	16	12	13	11	3	8	2	2	12	0	0
HOM03M000302	16	183	15	13	10	11	15	12	11	9	11	5	12	5	15	9	2	28
HOM03M000303	16	182	16	9	10	26	27	11	5	10	19	9	10	5	17	6	1	1
HOM03M000304	15	182	7	7	6	9	11	6	5	13	15	13	34	18	25	11	2	0
HOM03M000305	16	182	13	8	10	9	9	9	9	20	10	13	16	14	22	9	3	8
HOM03M000306	16	182	9	12	9	12	12	9	8	22	13	9	13	9	11	6	9	19
HOM03M000307	14	181	15	16	18	18	22	16	12	17	9	9	9	5	8	7	0	0
HOM03M000308	14	181	15	14	12	14	11	12	11	15	14	10	18	13	12	10	0	0
HOM03M000309	14	181	15	10	12	14	17	12	9	17	10	9	18	11	16	11	0	0
HOM03M000310	16	181	16	10	15	15	23	12	4	23	8	10	17	12	10	4	1	1
HOM03M000311	14	179	25	11	11	11	15	10	10	19	11	8	15	9	22	2	0	0
HOM03M000312	16	180	13	10	10	10	12	11	11	9	11	10	14	11	16	17	7	8
