single1	single2
BD4G31300	SB02G025780
BD5G18290	SB06G025260
BD1G14210	SB01G014100
BD1G39520	SB06G014410
BD4G11687	SB05G025620
BD4G32720	SB02G025090
BD5G10800	SB06G017360
BD2G45050	SB03G029390
BD3G30790	SB01G017540
BD1G06890	SB01G006370
BD5G24930	SB06G031680
BD3G58120	SB04G034030
BD1G08440	SB01G007930
BD2G56260	SB03G041100
BD3G37880	SB09G030790
BD1G07920	SB01G007390
BD2G46550	SB03G031160
BD2G58540	SB03G043620
BD3G03550	SB04G003130
BD1G56760	SB02G003680
BD2G55470	SB03G040420
BD4G02100	SB08G020980
BD5G22050	SB06G028850
BD1G64390	SB01G037380
BD4G03827	SB08G019070
BD3G35517	SB07G020060
BD3G19450	SB07G010230
BD3G38730	SB07G029030
BD2G05520	SB03G003350
BD2G55580	SB03G040540
BD1G39950	SB02G039100
BD1G05116	SB01G004830
BD1G04060	SB01G003620
BD1G63050	SB01G035980
BD3G48880	SB04G026190
BD1G70657	SB01G043410
BD2G07530	SB03G001120
BD2G51230	SB03G035870
BD2G11107	SB03G011670
BD4G00950	SB04G004300
BD2G51070	SB07G013041
BD1G65450	SB01G038370
BD3G10110	SB04G010250
BD3G31120	SB01G016980
BD1G21620	SB02G039095
BD2G31830	SB09G007880
BD4G19975	SB07G026060
BD5G01880	SB06G000960
BD1G48230	SB10G004730
BD3G08190	SB04G006960
BD2G45987	SB03G030590
BD4G07350	SB08G014630
BD2G61370	SB03G046470
BD4G14630	SB05G023220
BD1G46580	SB10G006470
BD3G44590	SB07G024460
BD3G29830	SB01G018390
BD1G51230	SB10G003060
BD2G42300	SB03G026510
BD1G24790	SB02G036360
BD1G62850	SB01G035770
BD4G43250	SB05G002430
BD3G40020	SB07G027750
BD5G26080	SB06G032850
BD2G43190	SB03G027560
BD4G26200	SB09G017160
BD2G26850	SB09G019070
BD2G04190	SB03G004660
BD1G11160	SB01G010600
BD2G46690	SB09G000560
BD3G13920	SB07G002000
BD3G09820	SB04G009820
BD3G56270	SB01G039270
BD1G27310	SB02G033540
BD5G23320	SB06G030050
BD1G37907	SB10G022120
BD5G22730	SB06G029440
BD1G53857	SB02G006600
BD1G67387	SB01G040350
BD3G17077	SB07G003440
BD3G18970	SB01G043690
BD2G47090	SB03G031750
BD3G55340	SB04G037200
BD2G60670	SB03G045760
BD5G00540	SB06G001540
BD1G63816	SB01G036790
BD2G00600	SB03G008720
BD5G07370	SB06G013020
BD2G27810	SB09G018130
BD3G38380	SB07G023310
BD4G17047	SB05G020350
BD5G10810	SB06G017370
BD1G63330	SB01G036270
BD4G25740	SB08G002610
BD3G50800	SB04G032760
BD3G03700	SB04G003380
BD2G34740	SB09G004640
BD3G34517	SB01G027840
BD1G70570	SB01G043330
BD1G37400	SB10G022650
BD2G56792	SB03G041640
BD1G34550	SB10G029290
BD3G03112	SB04G002840
BD4G25130	SB05G003640
BD2G12037	SB03G013060
BD3G50060	SB04G033580
BD3G46580	SB04G023690
BD1G25340	SB02G035710
BD3G54650	SB04G036460
BD2G52900	SB03G037590
BD1G35230	SB10G030175
BD3G23167	SB01G023540
BD5G00430	SB02G013000
BD3G40470	SB07G027040
BD3G06500	SB04G006000
BD4G21270	SB03G044430
BD4G30797	SB02G025260
BD2G52390	SB03G037090
BD2G58060	SB03G043150
BD3G12640	SB07G023720
BD3G06010	SB04G005460
BD2G45890	SB03G030470
BD1G25830	SB02G035180
BD3G58750	SB04G027520
BD2G56060	SB03G040930
BD4G04040	SB08G018560
BD3G05360	SB04G030390
BD1G09450	SB01G008850
BD2G55110	SB03G040050
BD3G29910	SB01G018220
BD2G25910	SB09G019720
BD1G44060	SB10G009360
BD1G42340	SB10G014230
BD5G14560	SB06G021410
BD2G58667	SB03G043740
BD3G47760	SB04G024940
BD3G11230	SB03G043360
BD3G44920	SB04G021710
BD3G36920	SB07G021640
BD2G49850	SB03G034620
BD5G14200	SB06G021000
BD1G63490	SB01G036400
BD4G28877	SB02G023040
BD1G69180	SB01G042060
BD2G12247	SB03G013240
BD4G37930	SB02G032740
BDCG00580	SBCG00680
BD2G59260	SB03G043440
BD4G43660	SB08G001460
BD2G22660	SB09G023040
BD2G18250	SB04G006940
BD3G48080	SB04G025290
BD1G67127	SB01G040080
BD5G05230	SB06G004980
BD5G20927	SB06G027820
BD2G03701	SB03G009130
BD2G58420	SB03G043530
BD1G62590	SB01G035510
BD3G33537	SB01G028850
BD3G60850	SB04G038580
BD4G38980	SB03G003570
BD3G48690	SB04G025950
BD4G17200	SB05G020290
BD2G43480	SB03G027840
BD3G29247	SB01G018930
BD1G01740	SB01G001270
BD1G18680	SB02G042060
BD4G20800	SB05G006580
BD4G19110	SB05G010340
BD2G43580	SB03G027880
BD3G58166	SB04G033980
BD5G24950	SB06G031690
BD1G04840	SB03G032790
BD1G72470	SB01G045090
BD3G02960	SB04G002670
BD2G42470	SB03G026720
BD1G51560	SB10G002430
BD3G05620	SB04G005070
BD1G48730	SB10G004040
BD1G46620	SB10G006380
BD4G30450	SB02G024860
BD3G37370	SB07G022130
BD3G27400	SB01G021140
BD3G15520	SB07G004940
BD4G15350	SB05G022540
BD2G14950	SB09G027240
BD1G58350	SB02G002960
BD2G13767	SB01G011550
BD1G67150	SB08G001210
BD4G34860	SB02G029520
BD4G37380	SB02G032270
BD1G32580	SB10G027180
BD3G11530	SB01G001670
BD2G06440	SB03G004920
BD1G26910	SB02G033820
BD3G14277	SB07G002490
BD3G56060	SB04G036380
BD5G12400	SB06G018990
BD3G45990	SB04G022930
BD1G32690	SB10G027080
BD4G12037	SB05G025520
BD1G52460	SB10G000230
BD1G25870	SB02G035150
BD2G32530	SB04G010680
BD4G39227	SB01G049090
BD1G42660	SB10G012240
BD3G16290	SB07G004130
BD2G39840	SB09G000420
BD2G02940	SB03G006280
BD3G04440	SB04G004050
BD3G13970	SB07G002060
BD2G59037	SB03G044090
BD1G24860	SB02G036270
BDCG00210	SBCG00260
BD3G20560	SB08G016920
BD3G53390	SB04G029880
BD4G24237	SB09G030030
BD1G01007	SB01G000620
BD1G34560	SB10G029300
BD5G05220	SB06G004500
