single1	single2
BD3G16927	OS08G05830
BD2G47080	OS01G49670
BD1G65310	OS03G18420
BD2G19680	OS05G44170
BD4G07870	OS12G25210
BD1G67790	OS03G14990
BD5G05190	OS04G23180
BD2G52850	OS01G59340
BD4G01810	OS03G42770
BD3G53970	OS02G55120
BD4G06987	OS12G31450
BD2G06920	OS01G11590
BD3G05950	OS12G35630
BD3G21640	OS10G42960
BD2G05970	OS01G10020
BD2G50850	OS01G55950
BD1G44160	OS06G14460
BD1G68757	OS03G13370
BD5G24980	OS04G56670
BD3G60550	OS02G58340
BD2G05940	OS01G09890
BD2G09290	OS01G15310
BD1G22600	OS07G40730
BD2G60850	OS01G72310
BD2G10270	OS01G16540
BD4G37730	OS09G38570
BD1G27710	OS07G30100
BD1G19950	OS07G44630
BD2G02010	OS01G03820
BD1G53747	OS07G12640
BD2G01870	OS01G03650
BD1G78480	OS03G01222
BD2G57967	OS01G67740
BD1G65620	OS03G17990
BD4G27920	OS09G14680
BD4G43670	OS02G29890
BD1G12300	OS03G48000
BD2G38650	OS05G04370
BD1G32350	OS06G45860
BD2G26547	OS05G32570
BD4G41127	OS12G07950
BD3G28605	OS02G44510
BD1G53050	OS07G16130
BD3G14127	OS05G41880
BD2G38160	OS05G03550
BD3G33770	OS10G41710
BD1G47050	OS06G08790
BD2G58397	OS01G68380
BD1G19867	OS07G44730
BD1G25977	OS07G34030
BD2G17330	OS05G47930
BD1G23400	OS07G39430
BD3G39510	OS08G39080
BD3G24730	OS10G17280
BD2G06080	OS03G34040
BD2G13827	OS01G33784
BD4G03970	OS12G38400
BD1G22740	OS07G40470
BD3G02997	OS02G03970
BD2G12090	OS01G21850
BD2G40937	OS01G37120
BD3G47670	OS02G38190
BD1G56130	OS07G07540
BD5G10730	OS04G35780
BD3G34040	OS10G42240
BD4G35820	OS09G36030
BD5G27460	OS04G59460
BD2G02020	OS01G03840
BD4G18870	OS11G30410
BD3G56350	OS02G49470
BD1G74700	OS03G06070
BD5G25506	OS04G57310
BD3G39170	OS08G38580
BD2G06680	OS01G32080
BD5G13940	OS04G40990
BD3G02817	OS02G03720
BD2G55150	OS04G16680
BD5G03740	OS04G20990
BD1G03730	OS03G60610
BD4G36230	OS03G19870
BD3G44330	OS02G31140
BD1G26170	OS07G33370
BD1G50567	OS06G02530
BD1G16097	OS03G39740
BD5G00600	OS04G22870
BD2G56587	OS01G65450
BD2G49627	OS01G54240
BD1G01110	OS03G63730
BD1G12157	OS03G48260
BD4G39027	OS12G19040
BD1G71700	OS03G09210
BD2G25080	OS05G34680
BD5G01763	OS04G02670
BD4G41470	OS12G07350
BD1G74840	OS03G05812
BD3G59480	OS02G51030
BD4G31600	OS09G27330
BD3G52560	OS02G47310
BD3G36750	OS08G33810
BD4G06310	OS05G48510
BD5G25070	OS04G56710
BD3G00227	OS09G07570
BD5G19840	OS04G49960
BD4G40790	OS12G08740
BD5G19460	OS04G49540
BD2G45450	OS01G46720
BD5G10260	OS04G35190
BD2G07620	OS01G12800
BD1G24980	OS07G37030
BD2G44360	OS01G44050
BD1G30540	OS06G43650
BD2G16140	OS05G49220
BD1G07150	OS03G56300
BD2G37610	OS05G02900
BD3G60720	OS02G58510
BD4G28030	OS09G15340
BD5G20780	OS04G51380
BD3G02870	OS09G07500
BD1G09530	OS03G52470
BD3G52200	OS03G30934
BD2G19800	OS03G60939
BD4G07820	OS12G26044
BD1G45607	OS06G11640
BD1G61000	OS03G26630
BD2G16710	OS05G48750
BD3G07980	OS03G61160
BD1G50180	OS04G32550
BD4G36920	OS09G37280
BD1G54220	OS07G02950
BD3G30027	OS10G35644
BD2G42100	OS01G40470
BD3G48480	OS02G39740
BD1G75262	OS03G05320
BD1G68160	OS03G14280
BD4G31417	OS09G26999
BD2G59937	OS01G70810
BD5G25100	OS04G56750
BD5G17240	OS04G45910
BD1G29000	OS07G25430
BD1G76450	OS03G03770
BD4G27057	OS09G10770
BD1G05420	OS03G58340
BD2G49960	OS01G53140
BD1G49650	OS06G03760
BD2G48720	OS01G52720
BD2G13690	OS01G32184
BD2G25980	OS05G33210
BD2G01990	OS01G03750
BD2G20110	OS05G43650
BD1G21366	OS07G43020
BD1G44100	OS06G14550
BD4G27370	OS09G11510
BD1G18110	OS07G23200
BD3G47270	OS03G46710
BD5G21380	OS04G52200
BD1G64130	OS03G20100
BD4G19670	OS01G51220
BD2G39750	OS05G01500
BD2G37680	OS05G02750
BD2G04860	OS01G08270
BD1G12090	OS11G31060
BD1G60890	OS03G26960
BD3G44530	OS02G31874
BD2G05200	OS01G08670
BD3G13280	OS08G01680
BD3G51730	OS02G45650
BD4G27117	OS09G10930
BD5G25090	OS04G56740
BD2G26270	OS05G32960
BD2G41220	OS01G37825
BD4G06790	OS12G31840
BD5G22290	OS04G53230
BD3G00940	OS02G01710
BD3G16990	OS08G25060
BD1G37270	OS06G38550
BD4G26640	OS12G05230
BD3G42960	OS08G44530
BD5G19830	OS01G51680
BD3G54267	OS02G55530
BD3G08080	OS02G12570
BD5G19070	OS04G48820
BD1G46960	OS06G08860
BD2G37760	OS01G62440
BD2G53526	OS01G60650
BD4G39190	OS12G17530
BD2G31930	OS05G13370
BD2G35070	OS05G06330
BD2G55320	OS01G63710
BD1G30360	OS06G43270
BD4G42817	OS11G05100
BD1G76800	OS03G03450
BD4G42120	OS11G05640
BD3G18990	OS08G15030
BD1G58340	OS07G05470
BD2G05030	OS01G08430
BD3G07210	OS08G23360
BD3G13410	OS08G01840
BD3G31397	OS07G20150
BD2G46040	OS01G47690
BD1G12200	OS03G48170
BD2G36410	OS05G05200
BD3G02720	OS02G03575
BD3G10630	OS02G18850
BD1G43620	OS06G16430
BD4G24400	OS11G07050
BD3G40600	OS08G40590
BD3G34050	OS10G42250
BD4G26970	OS09G09470
BD2G55760	OS01G64280
BD2G51350	OS01G56560
BD1G57430	OS07G03130
BD2G01504	OS01G03020
BD3G35650	OS08G31810
BD3G53280	OS02G48380
BD5G13900	OS04G40930
BD3G01950	OS02G02860
BD4G08260	OS09G02214
BD5G09920	OS04G34440
BD5G24250	OS04G55700
BD3G58930	OS02G51700
BD4G39580	OS12G13460
BD3G22580	OS10G08580
BD1G19627	OS07G45160
BD1G08430	OS03G53990
BD3G17110	OS05G19480
BD3G52140	OS02G46520
BD1G65670	OS03G17930
BD1G43520	OS12G19549
BD4G12060	OS11G41990
BD1G06080	OS03G57840
BD2G38270	OS09G07460
BD2G54220	OS01G61830
BD1G52330	OS06G01400
BD1G27890	OS09G01690
BD2G27790	OS05G30340
BD4G19650	OS11G21990
BD1G01100	OS03G63720
BD1G29020	OS07G07260
BD4G22690	OS11G10420
BD2G03297	OS01G05670
BD2G05420	OS01G08960
BD1G06960	OS03G56590
BD2G23790	OS05G37434
BD2G25540	OS05G33850
BD2G49710	OS01G54370
BD1G72270	OS03G08710
BD2G15526	OS04G32340
BD5G10500	OS04G35530
BD3G26160	OS10G25680
BD1G13350	OS03G45260
BD3G43860	OS02G30140
BD4G40670	OS12G09000
BD3G12800	OS08G45190
BD3G20450	OS08G22864
BD1G42820	OS06G20320
BD1G51720	OS06G02220
BD2G37780	OS05G03000
BD2G20370	OS05G43360
BD5G14830	OS04G42370
BD3G45860	OS02G35110
BD3G56280	OS02G49570
BD4G04567	OS12G37630
BD2G05226	OS01G08700
BD2G34310	OS05G07860
BD2G13320	OS01G01484
BD4G08350	OS09G02284
BD3G03526	OS02G04660
BD3G59880	OS02G50360
BD3G07286	OS02G10510
BD1G21400	OS07G43060
BD1G31090	OS06G44200
BD5G20597	OS04G51180
BD3G02650	OS02G03470
BD3G17910	OS08G10649
BD4G05710	OS12G35290
BD5G12680	OS04G39090
BD1G65290	OS03G18440
BD4G39680	OS12G13130
BD3G02890	OS02G03860
BD1G75280	OS03G05300
BDCG00570	OSCG00670
BD3G36200	OS08G32930
BD3G54880	OS11G18830
BD2G18080	OS05G46490
BD1G67540	OS03G15390
BD4G17287	OS11G32470
BD1G56620	OS05G28460
BD3G57060	OS02G49780
BD1G07910	OS03G55280
BD4G36380	OS09G36530
BD4G02810	OS10G35130
BD1G59410	OS02G01350
BD1G22607	OS07G40700
BD2G62300	OS01G14610
BD5G16280	OS02G54000
BD1G08760	OS03G53600
BD2G27060	OS05G31490
BD4G06441	OS05G37980
BD1G72967	OS03G07850
BD1G72280	OS03G08700
BD4G27747	OS09G13610
BD1G60500	OS03G27820
BD1G51890	OS09G24260
BD4G05830	OS12G35040
BD2G61017	OS01G72350
BD1G64250	OS03G19890
BD3G27950	OS10G31940
BD3G54430	OS02G55950
BD1G10710	OS03G50730
BD3G56410	OS02G49360
BD1G42620	OS06G21980
BD2G47840	OS01G51190
BD2G62532	OS01G74460
BD3G42680	OS08G44260
BD0G00080	OS06G43900
BD4G34960	OS09G33780
BD3G53000	OS06G43850
BD1G06380	OS03G57300
BD2G57130	OS05G05150
BD2G10700	OS01G17050
BD1G20700	OS07G22700
BD3G37790	OS08G36150
BD1G69010	OS03G12610
BD3G03250	OS02G04440
BD1G65850	OS03G17660
BD4G31300	OS09G26870
